NavB_up	MemB_up	CD8T_up	CD4T_up	NKcell_up	Monocyte_up	NavB_dn	MemB_dn	CD8T_dn	CD4T_dn	NKcell_dn	Monocyte_dn
COL9A1	0.0145335273903428	0	0.0241025680237484	0.0190047131272383	0	0	0	0.0119099461077723	0	0	0.0064265080045829	0.023874580196723
LMBRD1	0.405548114678454	0.343532284928676	0	0	0.0566809259781716	0.0902654502458788	0	0	0.0765126995125344	0.0119820965620651	0	0
GM6462	0	0	0	0.00834186346451763	0	0.00128689035224063	0.00715124884782201	0.00256933216925623	0.00375411601738572	0	0.0151015821966632	0
LGSN	0.00659233370480974	0	0.0238550710576315	0.00988719065130707	0	0	0	0.0166715803078991	0	0	0.00215268589928003	0.0187429128112477
PIH1D3	0	0	0.00633384240636375	0.00707366189334571	0	0	0.000618295763289964	0.00759833695926094	0	0	0.000988006989027886	0.0144155355579267
LOC100505265	0	0	0.00881769862598995	0.0119879517943357	0.011071447057292	0	0.00324739547842803	0.00458524377149786	0	0	0	0.0144781654449307
KHDRBS2	0.00167096490056657	0	0.0207065026664495	0.00159660606385488	0.00235849497383873	0	0	0.00805262057411736	0	0	0	0.0089185172064684
1700001G17RIK	0	0	0.0465325957139201	0	0	0	0.00384092148503597	0.0367640234859587	0	0.0199408044943839	0.00170954807546702	0.0164117326435124
RAB23	0	0.0257018582172982	0	0.0156182364507464	0	0	0.00641714034841751	0	0.0166566737509161	0	0.067835849489323	0.0308730208384286
DST	0	0	0	0.019424919039651	0	0.0223791223606209	0.033180178672502	0.0377677872820752	0.0117506591378467	0	0.0398281602033374	0
IMP4	0	0	0	0.00522967201482354	0.00944837780336238	0.0023723233575213	0.00756535369016174	0.00151859381589476	0.0154718109648364	0	0	0
PTPN18	0.0139879262466409	0.0270153991950605	0	0	0	0.0355927706780654	0	0	0.0193201279079813	0.00774511069138353	0.00847946735968704	0
PRSS39	0.00594986819620705	0.0061909009714769	0.0124532240826698	0.00098681671364754	0	0	0	0	0	0	0.0163027223412594	0.00880824039444628
CFC1	0	0	0.0147272452709835	0	0.00371137001952315	0	0.000593236259917844	0.00536471370093101	0	0.00449707801195126	0	0.016321333068844
AMER3	0	0	0.0199470309621186	0	0	0	0.00251276555318197	0.0137181446607058	0	0.0401814988595131	0.00630050080346903	0.0187733480694253
ARHGEF4	0	0	0.0274429422288254	0.0202169231598619	0.0447512905135674	0	0.0174412086296205	0.020080466666008	0	0	0	0.048506158188812
PLEKHB2	0	0.0769243000328949	0	0	0.00744479682706057	0.0896360430583141	0.0259029790002656	0	0.14224862984988	0.106733332505419	0	0
HS6ST1	0	0.0570889971194609	0.000248301614923254	0	0	0.0322448402987683	0.0159300428455749	0	0	0.0145891305516507	0.086182189756536	0
ARID5A	0.00467451624190581	0	0.0229482398799534	0.0249490276111784	0.0372418906569668	0	0	0.011247807628608	0	0	0	0.0596798375420001
CNNM4	0	0	0	0	0	0.0320456007932357	0.00244122942266733	0.00204715525495841	0.0658826018366674	0.0410510827990828	0.00964415333783682	0
CNNM3	0	0	0	0.0440622472508208	0.0104329685530267	0	0.00853878968875795	0.00284168699418811	0.00901699801528172	0	0	0.0140740243932287
ZAP70	0	0	0.804199792244542	1	0.751489278057693	0	0.0835106978713872	0.107526246583031	0	0	0	0.0851743176205007
CNGA3	0.00655665214943669	0	0.0467249987843194	8.76264879732807e-05	0	0	0	0.0159423744476928	0	0	0.0143708211854163	0.00893584350494827
INPP4A	0	0.0655634929278347	0	0	0.0195320621769938	0.0488730007694457	0.101635975184253	0	0.0567196819505067	0.0164199499853685	0	0
UNC50	0.00992772457639701	0.0397460095051162	0	0	0.0159816047310973	0.01566447635034	0	0	0.0434420724070476	0.096125875605997	0	0
LIPT1	0.0168020483431061	0.0235085974205527	0.0246301283670819	0.00362973808974188	0	0	0	0	0	0	0.0262699855847942	0.0339415674247495
MRPL30	0	0	0	0	0.00599095863035323	0.00365865350604643	0.0149914954718932	0.00379628899393984	0.00822494273695155	0.00325383615676148	0	0
EIF5B	0	0.0362524049044868	0	0.0331820084505531	0	0.0143574339814792	0.00932272480796634	0	0.0479160996680114	0	0.0376501002635868	0
NMS	0.00389100886018997	0	0.0262597142969655	0.00945316627940674	0.00615046002661119	0	0	0.018392944105051	0	0	0	0.0144059061036402
PDCL3	0	0	0	0	0	0.0171007843697048	0.0851630907925948	0.00203641579071604	0.0955943751869673	0.0287346360888394	0.00188097957752228	0
NPAS2	0	0	0.000726331906866115	0.00132631450944813	0	0	0.0025937647734446	0.0200111395268768	0	0	0.0109037076286309	0.0289456678006616
CNOT11	0	0	0	0	0.0271317448434255	0	0.00655308978562542	0.00591778894735565	0.0474191117693762	0.00693797963598896	0	0.0330916682554482
MAP4K4	0	0	0.0111457807968629	0.0877634914045871	0	0	0.0328762538149102	0.0432905281708797	0	0	0.033774394796643	0.0387589915477123
IL1R2	0	0	0.00498145522812041	0.0131316634137944	0	0.232209545859949	0.000422087943328074	0.0243454473997617	0	0	0.0126494664780196	0
IL1R1	0	0	0	0	0	0.00867051415099251	0.030007135663377	0.0380009877802124	0.00681064657535072	0.00322471370390246	0.0219212321890409	0
IL1RL2	0	0	0	0.0745381734352118	0	0.0514177671408781	0.253701881769898	0.23935251179986	0.00862550584962852	0	0.0478798543690389	0
IL1RL1	0	0	0	0.00577751201228592	0	0.11375368548249	0.000729665231750063	0.0292848109729176	0.00260989812055476	0	0.00844959802547471	0
IL18R1	0	0	0.172359483179701	0.164106271259992	1	0	0.059698203515121	0.0815965368714686	0	0	0	0.0772363992956689
IL18RAP	0	0	0	0	1	0.00586908735790327	0.0986844955086711	0.122024152639305	0.0267111374317399	0.00349831852053572	0	0
SLC9A4	0	0	0.0277625732533445	0.0144628511631734	0	0	0.00637709572063091	0.017258256366589	0	0	0.00397142597502505	0.00439346395768923
SLC9A2	0	0	0	0.0298546208598993	0.00248707087848968	0	0.0107594778942739	0.0110162147165661	0.00284126173361689	0	0	0.00933089346451221
TMEM182	0.00715552575028647	0	0.0192827250553892	0	0	0	0	0.00858253294154434	0	0.0101139587522262	0.00251979757783421	0.0129818045719372
POU3F3	0.00155061437101082	0	0.0522393835380454	0	0	0	0	0.0214798310648177	0	0.00376888145268934	0.0170328072135439	0.0145059475032988
MRPS9	0	0.00299489004184484	0.0019007697277032	0.00632758325492165	0	0	0.0146858121890184	0	0	0	0.0149898696376729	0.0129506027299419
GPR45	0.000934950411939695	0	0.0313889647894081	0	0	0	0	0.00754625823132704	0	0.00789936452336417	0.00396997709486596	0.0193036817418137
AI597479	0	0.00373677069798498	0	0	0	0	0.011024515945004	0	0.0169436837071971	0.0108366856755478	0.0012064468507916	0.015998939801589
1500015O10RIK	1.56211196567847e-05	0	0.0369545219595523	0	0	0	0	0.0035942497357053	0	0.000346081912960246	0.0107723868702775	0.0124789632524001
TPP2	0	0	0	0.0146040233884695	0.0146504042772152	0	0.0319682648090459	0.031808912422429	0.0377527892957084	0	0	0.00128362275372678
BIVM	0	0.0283775052917594	0	0	0	0.0102050882044736	0.0818033243655339	0	0.0455582502493775	0.0638964566107547	0.134876878399126	0
ERCC5	0	0.0188677292690452	0.0118284302827357	0.00571494318223235	0	0	0.00947931026648517	0	0	0	0.0354293829972561	0.0025106035372002
GULP1	0.0014708956532369	0	0.00111078465137277	0	0	0	0	0.0102059264675932	0	0.0260718800536192	0.00354338983755833	0.00566293274457736
COL3A1	0.00927093898108291	0	0.0169529490935217	0.00594157356301412	0	0	0	0.0130160444245763	0	0	0.0143475153369183	0.0136418725970167
WDR75	0.00178182767355508	0.0343630816337651	0.0189136193114725	0.0377913544045256	0	0	0	0	0	0	0.0261226215719236	0.0255844991804169
TMEFF2	0.0058225401509466	0	0.007269573545608	0.00723474165901662	0.000338961873076621	0	0	0.00635846588055256	0	0	0	0.0171861519562659
SDPR	0.00156371300557895	0	0	0	0	0	0	0.015649264845439	0.00296799245625508	0.0316584966477714	0.0165207767540592	0.00497564455496519
STAT4	0.0342939209201398	0	0.0658910379719131	0.223778903297247	0.416805316250856	0	0	0.0807350570218117	0	0	0	0.13107408657167
STAT1	0	0	0.0271766404315627	0.152029287025967	0	0	0.0131643046281091	0.0792156905051537	0	0	0.0486249619102024	0.0220318302296904
TMEM194B	0.0943593326673216	0.0856520202888769	0	0.0291064412892525	0.00916935650965624	0	0	0	0.0216634735655908	0	0	0.0326431967936753
HIBCH	0	0.00732273720711438	0	0.0883495062801485	0.0134954532582474	0	0.0313611162144886	0	0.0455580385290537	0	0	0.0363502233144489
MSTN	0	0	0.0582561566839534	0	0.00309022695984836	0	0.000112436188250517	0.0160463818913482	0	0.00895339589910599	0	0.0148332881041645
ORMDL1	0	0.00507730060992319	0	0	0.0810941069793513	0	0.0139918323105236	0	0.0226768976593467	0.0257845413416655	0	0.0177160884790034
OSGEPL1	0.0387924217497651	0.0529454567371608	0	0	0.0244586448764312	0.000260963455762681	0	0	0.0158437265642828	0.00114991940604347	0	0
CCDC150	0	0	0.0297985905395827	0.0134201499968714	0	0	0.0111345201160278	0.0124507260583466	0	0	0.000285202682428255	0.00662565460735805
MOB4	0	0.0107875348290428	0	0	0.0225575790185071	0.00319283483473909	0.00307153800999799	0	0.0706045572903324	0.00160517361971097	0	0
MARS2	0.0520057019064512	0.0292815535099423	0.0012234967899324	0	0	0	0	0	0	0.012429039245146	0.0028800851471225	0.0320464092835065
PLCL1	0	0	0.00875366732801159	0.0746387777692408	0	0.0418360555474705	0.0351171111728587	0.0760367081141929	0	0	0.0726598831855101	0
1700066M21RIK	0	0	0.0277878659247333	0.00205073870740078	0.00607195478631071	0	0.000657596247000452	0.023468031523192	0	0	0	0.0190416466321298
9430016H08RIK	0	0.00909037544085476	0	0	0	0.00978430805718685	0.0358127963889878	0	0.0466319000148675	0.0170899396693099	0.015461610521896	0
SPATS2L	0	0	0.025524384546802	0.0112091788938766	0	0	0.0106893678701075	0.012510769596503	0	0	0.00529666256078336	0.0122584984388507
SGOL2	0	0	0	0	0	0.0403775155341223	0.0541601565176384	0.0782686093869882	0.068212796723061	0.0900460585436512	0.0876022388157612	0
AOX1	0.0103770938529458	0	0.0117989471647373	0	0.000906703089596773	0	0	0.00430991036483113	0	0.000274842257368997	0	0.0168705681932243
AOX3	0.000734174274461939	0	0.0198795000486347	0.00760948809534761	0.0049365086402983	0	0	0.00245663919061236	0	0	0	0.0110768319245326
AOX4	0.000851435711664015	0	0.0245205291106802	0.00930264033919306	0.00295073630968174	0	0	0.00733093321954802	0	0	0	0.0122640823402278
AOX3L1	0.00439099514082324	0	0.0156253603681144	0.015286792782688	0.00385840751851664	0	0	0.00836406405496288	0	0	0	0.0169776933550738
BZW1	0	0	0	0	0	0	0.0165181139075043	0.01031673698101	0.0479952866013741	0.00289688886166359	0.0051048442945446	0.0164442963731148
NDUFB3	0	0	0	0	0	0.02573645491316	0.0474729173896041	0.00668802706846168	0.0356944866850443	0.015760688122785	0.000406603097200963	0
CASP8	0	0	0	0.00854733506416657	0	0	0.0241465224238651	0.00803191393412834	0.00396654943159115	0	0.00249973473411008	0.00958463201922566
STRADB	0.0607176432786474	0.0889899546670604	0	0	0.00197768140246246	0	0	0	0.0274775581513989	0.0218366695710345	0	0.00735119313438562
FZD7	0	0	0.000208554858326606	0	0	0.185388063318023	0.0572712319573923	0.0636547560733287	0	0.0522075428465421	0.0496515393536999	0
GM973	0.00324666673103712	0	0.00594065966510617	0	0	0	0	0.0168162799592636	0	0.0218453919350174	0.010866323293614	0.0153169690980901
NOP58	0	0.0471382933808659	0	0.0875337727827019	0	0.00580309931976812	0.0129616037242183	0	0.0277171780668539	0	0.0631129865077001	0
BMPR2	0	0	0	0	0	0.146318708977925	0.403081011574373	0.29030404560664	0.232822149861036	0.0472139512892934	0.0203874866285003	0
FAM117B	0.0351270739292645	0.0124796701994454	0.0200922214013295	0.0276873143514317	0	0.0380759638650615	0	0	0	0	0.0152773408295122	0
CARF	0.0242967166459071	0.0537769735563231	0	0.0250632898525485	0	0.000247426964132707	0	0	0.0346912953242747	0	0.0308527079691111	0
CYP20A1	0	0.065804726914574	0	0	0.0425027199924306	0.0687209064819546	0.000157184662478179	0	0.096863633252152	0.037900147118494	0	0
ABI2	0	0	0	0	0.00620780982311855	0.0116803094953999	0.20711092347145	0.162661000013064	0.10482501234892	0.0608935510459824	0	0
CD28	0	0	0.293880938298202	1	0.318121410518486	0	0.260302252178652	0.22592705493163	0	0	0	0.0599389735383479
CTLA4	0	0.522566597094906	0.00642456684229935	1	0	0.0163325673201426	0.00648505923595329	0	0	0	0.0454150474832787	0
ICOS	0	0	0.118621531386282	0.808715004336308	0.021440333687028	0	0.262772031257925	0.25004501368667	0	0	0	0.109210742770145
NRP2	0	0.410629721147742	0.00695904401878054	0	0	0.063919102635813	0.0202789675971128	0	0	0.00876586004285617	0.0262194652320313	0
EEF1B2	0	0.0158779268859966	0.0201289952447104	0.0390663871317609	0	0.00481734370169175	0.0683963186239568	0	0	0	0.0797791873462156	0
SNORA41	0	0.0326203906800027	0	0	0	0.0109386697862478	0.00620583660207785	0	0.0160041967550125	0.0142426151022612	0.0714458530675573	0
ZDBF2	0	0	0.024184511306234	0	0.00196682501079405	0	0.0020840879629928	0.0142325987907963	0	0.0209770690377328	0	0.0180519821457575
ADAM23	0	0	0.00403063602093844	0	0	0.513822360976302	0.00647093015432948	0.0166174459762337	0	0.0488855113977281	0.0128242358585053	0
FASTKD2	0	0.0139187662847415	0	0.0199510246139818	0	0.0027132801666605	0.0025297179174613	0	0.00420746406509423	0	0.0725855027738229	0
GM13749	0.00949245174500992	0	0.0269063834979313	0	0.00340819112169013	0	0	0.0043417134925955	0	0.00447356569017392	0	0.0142300868164471
CREB1	0.00717048357103021	0	0.00653771812578919	0.0482857417476818	0	0	0	0.00427285438917853	0	0	0.00344279046776108	0.0215909801091896
CCNYL1	0.069615158989776	0.128256683573199	0	0	0	0.0605967608942269	0	0	0.0730256779426525	0.0148834068066604	0.000803783789163501	0
PIKFYVE	0.163126791473911	0.068607950398027	0	0.0315656092922804	0	0.0215784188148237	0	0	0.0176001534195166	0	0.100967650711319	0
PTH2R	0	0	0.0391108862411954	0	0	0	0.00173937826690226	0.00711401587717311	0	0.0243985558542477	0.00337012636680803	0.0108178542322512
CRYGF	0	0	0.00814466795479853	0.0198604937728637	0	0	0.00759976301038864	0.00771539022316638	0	0	0.00697198992411447	0.00449718047076231
MAP2	0.000409628289150073	0	0.0137600455449576	0	0	0	0	0.021227091467819	0	0.00638428514545554	0.00762825807757264	0.0154837261019348
RPE	0	0	0	0	0	0.0020895378956745	0.00586496410968658	0.0100755773192174	0.0286191519968719	0.0178016235000687	0.0272602624830266	0
CPS1	0.00253931647445819	0	0.00699332789836971	0.00236241677142906	0	0.0116627077120521	0	0.0100170150423717	0	0	0.0151303693122653	0
SPAG16	0.00112010942734824	0	0.0163941011015419	0	0.000112906731615455	0	0	0.0105540838462132	0	0.0134560453765334	0	0.0107640173783555
VWC2L	0.00317296976422844	0	0.0393433299748618	0	0	0	0	0.0103076470354881	0	0.0175334411490639	0.0077913391174981	0.0152125057481731
ATIC	0	0.033291258737904	0.0293021119483454	0.0336713548111211	0	0	0.0582586348035235	0	0	0	0.212321081264742	0.0215526880112439
TMEM169	0	0	0.049155189491794	0	0	0	0.00485004220320177	0.0161438985087929	0	0.00182710353673249	0.00618116672209076	0.00960339519369018
XRCC5	0.01084806626756	0.0559112088506989	0	0.122631686462863	0	0	0	0	0.00541557983314994	0	0.0272907919625779	0.528669569407159
SMARCAL1	0.0129432730247358	0.0272931791353537	0	0.00821759471634327	0	0	0	0	0.0268200138163447	0	0.014088934751601	0.00402693872346381
IGFBP2	0	0	0.0330202014804681	0.0178783196747342	0.00449539940408365	0	0.00665294305984117	0.0132065347384539	0	0	0	0.0214482448270364
RUFY4	0.0136360771373944	0	0.0292226739970238	0	0	0	0	0.0147299865242567	0	0.00251734289740217	0.0062833372600917	0.0158133083986232
CXCR2	0.0191624409322301	0	0	0	0	0.0276744556142396	0	0.0167913743751626	7.25254754561203e-05	0.0207759681229489	0.00480620663851013	0
ARPC2	0	0	0	0	0.00293980767362338	0.0365776158933325	0.0221999939703217	0.000216289074014623	0.0275108787540705	0.014874460072769	0	0
GPBAR1	0.0152230181584063	0	0.0193911687442851	0.0156176640050146	0	0	0	0.00549603466709201	0	0	0.00060434815533248	0.00989761540961111
GM216	0	0	0.0221241741457463	0.00324052633457126	0	0	0.000306700398600833	0.01750166554979	0	0	0.00077076909057793	0.0112084877368639
SLC11A1	0	0	0.00664330140872854	0	0	0.57640084455172	0.0018778531783073	0.0188479383192494	0	0.0212766110118721	0.0100152666236718	0
CTDSP1	0.030618318422627	0	0	0	0.0623278192158841	0	0	0.0111845452598054	0.00270236580110846	0.0532461259074643	0	0.0169665602285135
MIR26B	0.0234887036884151	0.0123637430419534	0.00949686009112678	0	0	0.00140142959596105	0	0	0	0.0118303268910183	0.000626917426633424	0
VIL1	0.00922467404662193	0	0.00398853818505224	0	0	0.000233359485202876	0	0.0024426236350205	0	0.00389061961357486	0.00978988634261997	0
RQCD1	0	0.000472851861623401	0	0.000626696255267692	0.0073780996236345	0	0.0340456951645276	0	0.0618783021113242	0	0	0.00538069696429232
BCS1L	0	0.028407169208919	0	0	0	0	0.0100770271323373	0	0.0265561875119624	0.00560252065392762	0.00592145029555926	0.0117114350787084
STK36	0.00371372607844849	0	0.0286389263584724	0.00794781397404043	0.00296807383755212	0	0	0.019469180238075	0	0	0	0.00862307944328827
TTLL4	0	0	0	0.0221392827316605	0	0	0.00391343412942867	0.00941323922605433	0.0152786452375045	0	0.0186920194819313	0.0168121351285661
CYP27A1	0.18233404509179	0.0166712621889382	2.91074749970396e-05	0	0	0.856563531360261	0	0	0	0.0425823260634125	0.016369438810719	0
WNT6	0	0	0.0811603742226558	0.00343952528799775	0	0	0.00791119767291319	0.0335244119959353	0	0	0.00631041638921062	0.016575254866831
WNT10A	0.0108085513629582	0	0.0536748261239371	0.00584949990575911	0	0	0	0.0193623650760413	0	0	0.00691771607304337	0.0239976120371672
CDK5R2	0.00933202620334637	0	0.0363764100625282	0	0	0	0	0.0154852825119519	0	0.00329371137943539	0.00938436958756654	0.0241710396688029
FAM134A	0	0	0	0	0.0266960907452552	0	0.000586280323248592	0.00959418980748761	0.0191249509214328	0.00306259547628547	0	0.00661755746581842
ZFAND2B	0.0137003121034878	0	0	0	0.00075403704462401	0	0	0.00446068553186427	0.00654603950165058	0.00788854884554031	0	0.0033417760970615
ANKZF1	0.00721221044641983	0.0710397346092317	0	0	0.00225535692806963	0	0	0	0.00537621658195599	0.0138187204517211	0	0.00182308481123977
DNAJB2	0.0209901413267043	0.0159006794677167	0.00840569054729988	0	0	0	0	0	0	0.00831445620676767	0.0010795368252078	0.0249021845804009
DES	0.000408156752789992	0	0.0545577473688184	0.0169376303033963	0	0	0	0.025026749843392	0	0	0.0165733138888426	0.0141956358771092
SPEG	0.0111462219592617	0	0.0172664997342632	0	0	0	0	0.0138206981479515	0	0.00067434709999912	0.00967669101415825	0.0233681341939027
GMPPA	0	0.0209455240067164	0	0	0.00981633741621902	0.0264442291807269	0.0420998567322258	0	0.0560305886045381	0.015703233654478	0	0
ASIC4	0.0022397288444233	0	0.0359179229651602	0	0	0	0	0.0163524719609767	0	0.0142243329778944	0.00609294321228493	0.0168319458117141
TMEM198	0.0064182347005917	0	0.0376026201218727	0	0.0269201412109622	0	0	0.00461412975718218	0	0.00038404833015944	0	0.0248523696597045
INHA	0.00484625707572307	0	0.041394163916975	0.00566214805643417	0	0	0	0.00884873224614759	0	0	0.00256040521019108	0.0167539440645977
STK11IP	0.0765672245351738	0.0312045364103486	0	0	0	0.00405568670607217	0	0	0.0319977817874087	0.0337965253470863	0.00736712609130017	0
SLC4A3	0.0103721502909223	0	0.0388285316522641	0.000203463558536941	0	0	0	0.00823184658983194	0	0	0.0142811127470637	0.0205186006069208
SGPP2	0.0148368957211148	0.00838389295115662	0.0291749600381706	0.0242273036448133	0	0	0	0	0	0	0.00495464919898733	0.0130026374762329
MOGAT1	0.00738584933825857	0	0.0393500778443877	0.010510130815599	0	0	0	0.00206213727180653	0	0	0.00963967429216658	0.0116590705638475
KCNE4	0.0020298737307762	0	0.0128366893172907	0.00164770951249827	0	0	0	0.00170187027646065	0	0	0.0252929202576578	0.0219392981259356
MRPL44	0	0	0	0	0.00227697977885515	0.00354866313831071	0.0285629659331372	0.00203791343112928	0.0362201827311597	0.0215229352877155	0	0
9830004L10RIK	0.00045502099966951	0	0.0309832028125813	0	0	0	0	0.00254655309447733	0	0.0020513645846508	0.00431024631124938	0.00958951399123403
NYAP2	0	0	0.0183761831861317	0	0.00615716059131763	0	0.000750763417192613	0.0124983008680182	0	0.000936181187938736	0	0.0164013216939193
RHBDD1	0	0	0	0	0.0583366281505356	0.0123206485386185	0.00306256886393906	0.012833722039477	0.0344963014323788	0.0138607530693744	0	0
COL4A3	0.00643040276631465	0	0.0211639903544187	0.00399519724282118	0	0	0	0.0138444993232989	0	0	0.00286178406941815	0.0235025174633092
AGFG1	0.000150606192362233	0.0153716059857948	0.0803425749566839	0.443174375135692	0	0	0	0	0	0	0.0159973790587417	0.0374021529185473
CCL20	0.0225196975709126	0.0096698464300876	0	0.00979517703321052	0	0	0	0	0.00969975404824061	0	0.0172519644365618	0.00188563833037319
DAW1	0	0	0.0249266981586304	0.00056259437122488	0.00298000660669987	0	0.00112584378393703	0.00352510403036899	0	0	0	0.0011770877976654
FBXO36	0	0	0.000378788567807852	0.0158010908684692	0	0	0.0134638115604894	0.0211011161457338	0	0	0.031777892314482	0.017970790087315
A530040E14RIK	0.618736182917535	0.807023022781917	0	0	0	0.112264956971651	0	0	0.0324758410221736	0.00983572283901285	0.00516306471341209	0
G530012D18RIK	0.0392184400686194	0.127680940448949	0.0202119098587625	0.0516693759057987	0.000992845878007919	0	0	0	0	0	0	0.0408143063193648
SP100	0.0748966933867427	0.0232309671332999	0.0551338018842855	0.111280616194675	0.0753166527670904	0	0	0	0	0	0	0.0489440130346653
ITM2C	0	0	0	0	0	0.0910627290645561	0.53961866571963	0.127161842012088	0.054201362016743	0.0446676245424447	0.00178195752604019	0
4933407L21RIK	0	0	0.0118373019178391	0	0.000222951524323975	0	0.000304351466272437	0.0021709487207647	0	0.0127639188430256	0	0.0136143288318584
SPATA3	0.00189358855210195	0	0.0318889372346157	0	0.0121536551510198	0	0	0.015474700867006	0	0.00212446218543735	0	0.0138489937960821
