LUAD_P1_up	LUAD_P2_up	LUSC_P1_up	LUSC_P2_up	LUAD_P1_dn	LUAD_P2_dn	LUSC_P1_dn	LUSC_P2_dn
ABT1	0.1117683361592	0.10943781944263	0	0	0	0	0.00824477568005634	0.0316636953407876
ABTB1	0.307190224248615	0.212444427536421	0	0	0	0	0.30196389022674	0.263311482102092
ABTB2	0	0.0191809823476025	0	0	0.0467548790818	0	0.0654790691210881	0.0231008160331295
ACAA1	0.0965674238515134	0.0659754408980196	0	0	0	0	0.176620990652965	0.245582043526341
ACAA2	0.0179142222463108	0	0	0	0	0.0258038776721651	0.220080540680217	0.21615964605428
ACACA	0.0108466084138547	0.0619448333441695	0	0	0	0	0.207845637001304	0.231296328705781
ACACB	0.0316606181892029	0	0	0	0	0.0131204227531477	0.142259527903067	0.161426190172421
ACAD10	0.00954476809243496	0.013708670090189	0	0	0	0	0.109799526322209	0.0795021105985976
ACAD11	0.122281145754271	0.0591744218154612	0	0.00856165519055514	0	0	0.00437360885169432	0
ACAD8	0.369745495409642	0.476743818624806	0	0	0	0	0.305393632655909	0.228718208781699
ACAD9	0.0814652073111536	0.0164513516531003	0	0	0	0	0.100159922308235	0.116562569796178
ACADL	0.055064907783981	0.000813557550240441	0	0	0	0	0.0360396539125706	0.0537718620343277
ACADM	0	0	0	0	0.0154547714333503	0.0434458963627745	0.0877639450202988	0.119454070027031
ACADSB	0.135338121766389	0.0331394868410089	0.0522589950958002	0.0353540115672302	0	0	0	0
ACADS	0.162581810569872	0.149856415196984	0	0	0	0	0.261163664791575	0.24390055785041
ACADVL	0.153838998002069	0.0491558251271185	0	0	0	0	0.00297985330233332	0.012661566851321
ACAN	0	0	0.0498984341099308	0.115002169386702	0.191044793190505	0.150456325410619	0	0
ACAP1	0.183641983930777	0.167723167940659	0	0	0	0	0.167218265132447	0.10582226267185
ACAP2	0	0	0.187673890237006	0.158187398593513	0.165341003283081	0.185579109423586	0	0
ACAP3	0.122985601504912	0.200980015411781	0	0	0	0	0.033093716134471	0.0120620770322814
ACAT1	0.171507028941588	0.0976424996881379	0	0	0	0	0.0377306134639019	0.0994367389731508
ACAT2	0	0	0.0454977096007449	0.0179130637458577	0.252329200019093	0.155447121226781	0	0
ACBD3	0	0	0.1842611788436	0.184499494142053	0.124213523625671	0.0470291390539725	0	0
ACBD4	0.445599335428236	0.347420400200792	0	0	0	0	0.322074507658602	0.32457027616771
ACBD5	0	0	0	0	0.121812202847582	0.140908009265345	0.061414600435708	0.040020421489412
ACBD6	0	0	0.237443796869865	0.145978891841248	0.0856476316673245	0.174700942220323	0	0
ACBD7	0.113895572839236	0.0136417648141666	0	0	0	0	0.0979784440158205	0.0984631183018253
ACCN2	0	0	0.231121323460604	0.189120946211101	0.0584876927088952	0.068043882472968	0	0
ACCN3	0.12130751559011	0.101569850406096	0.117236071993048	0.0959519278852572	0	0	0	0
ACCS	0.225382108613825	0.157218374861462	0	0.00265908976003893	0	0	0.00214715915808487	0
ACD	0	0.0394202691780128	0	0	0.00923244762622995	0	0.500256430193251	0.589451362334499
ACE2	0.0425899937614164	0.064639249704258	0.174315264153078	0.111628524906536	0	0	0	0
ACER2	0.103724071091239	0.0931535639487596	0	0	0	0	0.0220563697240445	0.00496520539651231
ACER3	0	0	0	0	0.0111019197691665	0.023381158495359	0.0740286785219002	0.0772897004728749
ACE	0.0449697170877372	0.0856536137993285	0	0	0	0	0.524327301943802	0.51168346883105
ACHE	0.216159605214805	0.174105150796181	0	0.00226458414908336	0	0	0.0258936875779834	0
ACIN1	0.0439092716929263	0.0643875772349321	0.0893771138205979	0.116737465693233	0	0	0	0
ACLY	0	0.013501065789596	0	0	0.0407673589867666	0	0.0846233298370712	0.133562637691887
ACN9	0.0158843025938682	0	0.494505821542699	0.411095454205119	0	0.000593768697831351	0	0
ACO1	0.0210476332596569	0.0133360526773231	0.121540838185215	0.133657639956317	0	0	0	0
ACO2	0	0	0	0	0.118915315092163	0.101510809802048	0.0509246954370834	0.0381227028109289
ACOT11	0.0755983370012951	0.200783568829105	0	0	0	0	0.537260022437095	0.406572177657282
ACOT13	0.00907833076778192	0	0.129188047042764	0.0508831707297257	0	0.0123237300347091	0	0
ACOT1	0.12486222960251	0.0834642905305485	0	0	0	0	0.0176922123285053	0.0221841821529779
ACOT2	0.0446222768565519	0.0440172083254686	0	0	0	0	0.157412093385693	0.194276536297093
ACOT4	0.0163191037746985	0.0411808427367375	0.0288710037190668	0	0	0	0	0.00328510246667119
ACOT7	0	0	0	0	0.249951746388448	0.224940727442606	0.14650855129181	0.180592804475582
ACOT8	0.202663696038239	0.202627113413864	0	0	0	0	0.0548852560036951	0.0559463685681518
ACOT9	0	0	0.0447308711994541	0.0685066534444069	0.0573798144712348	0.114654731011986	0	0
ACOX1	0.0187253274680904	0.0775841959280343	0	0	0	0	0.060581435714989	0.050222506045738
ACOX2	0.105443129122858	0.128383867843733	0	0	0	0	0.263688642467904	0.204352833989559
ACOX3	0.0221247796059556	0.063964877584121	0	0	0	0	0.326984316216073	0.218021191760259
ACP1	0	0	0.452000708034236	0.338983835065425	0.0409932084641166	0.0474986231541731	0	0
ACP2	0.00246179920254097	0.0238643486558916	0	0	0	0	0.395422855230344	0.349446028403946
ACP5	0.175743939667386	0.190559775554901	0	0	0	0	0.0181379862411043	0.0160104668289871
ACP6	0	0.039546844199893	0	0	0.00545297886522962	0	0.0153394214470019	0.0581550147350087
ACPL2	6.35018101702053e-05	0	0.531592894571287	0.471981231897919	0	0.0182589917657931	0	0
ACPP	0.285787482603791	0.270009477583009	0	0	0	0	0.0384529646218893	0.0275123939354772
ACRBP	0.145563479180322	0.173539619587141	0.068519854477453	0.0461610972239363	0	0	0	0
ACRC	0	0	0	0	0.00790485607861854	0.00399007099098282	0.19114856411007	0.183239802082884
ACSF2	0.128148571000449	0.272208973922009	0	0	0	0	0.119448496369033	0.143542946093034
ACSF3	0.060243804239825	0.0556425652727241	0	0	0	0	0.114776547977272	0.175605298806
ACSL1	0.258232416571495	0.246812637813825	0	0.0132166499200761	0	0	0.00133906039383355	0
ACSL3	0	0	0	0	0.219384835994683	0.124486747883543	0.118171012230339	0.104947697724659
ACSL4	0	0	0	0	0.208122424346386	0.125499738876958	0.0456927603444562	0.0622160568658854
ACSL5	0.0998810926638612	0.0832662788260743	0	0	0	0	0.410152647041099	0.360504918011578
ACSM3	0.279989915721524	0.250953795053407	0	0	0	0	0.352105041720639	0.321650554711458
ACSS1	0.556370616396529	0.341368888127576	0.0133124716363	0.0259120160554573	0	0	0	0
ACSS2	0.203226262498477	0.141831767522942	0	0.00220989288700051	0	0	0.00193571180583621	0
ACSS3	0.248435372410192	0.126439514914341	0	0	0	0	0.500116017120033	0.479061242754477
ACTA2	0	0	0	0	0.023139838276315	0.0124261957796962	0.436624091772813	0.373843609961719
ACTB	0	0	0	0	0.122944632169398	0.121233377282431	0.185221931967504	0.130417895279262
ACTG1	0	0	0	0	0.266432055176807	0.165198123718214	0.214325345566084	0.24083335010965
ACTG2	0.00822701240968654	0	0	0	0	0.0104173876201413	0.358389266440534	0.308151360587907
ACTL6A	0	0	0.366410078701623	0.258070402706902	0.226262208490207	0.241873188898426	0	0
ACTN1	0	0	0	0	0.390824877195243	0.265181484737006	0.159806858057421	0.112687792756047
ACTN4	0	0	0	0	0.246580454320655	0.0909431910200155	0.0622785371733502	0.00883500450986029
ACTR10	0	0	0.26667176312802	0.256348428272602	0.0215653191581543	0.0471028278124421	0	0
ACTR1A	0	0	0	0	0.0429641716407917	0.12715098497801	0.282759121370705	0.249071668256658
ACTR1B	0.236390052448274	0.108930389504234	0	0	0	0	0.10718413775047	0.15423227586846
ACTR2	0	0	0.0486131414050031	0.0975691953136973	0.38646854872889	0.208087880943354	0	0
ACTR3B	0.125765257320266	0.137512616818383	0.0539132746929103	0.0281682859196705	0	0	0	0
ACTR3C	0.00131445169060396	0	0	0	0	0.0162969536788263	0.121294899056875	0.0888067773270803
ACTR3	0	0	0.288597166670722	0.282740323676621	0.116057910630901	0.0723999170062321	0	0
ACTR5	0	0	0	0	0.00352590042980109	0.00476286463839035	0.365665721845195	0.337846298245768
ACTR6	0	0	0.055644732419422	0.0158964220309847	0.0691339486633955	0.181587727939507	0	0
ACTR8	0.136751957394657	0.134152083518696	0	0	0	0	3.09684754232903e-05	0.0133062357239977
ACVR1B	0.134727188901039	0.199705325579476	0	0	0	0	0.0459111083279541	0.0233905403034542
ACVR1C	0.0445403115934299	0.0918612603778852	0	0.00330700898403974	0	0	0.0233541211635207	0
ACVR1	0.00729818368682483	0.11494952846416	0.00393180931206617	0.0309002080180608	0	0	0	0
ACVR2A	0.127961087620638	0.043146634704281	0.0361135264391062	0.0653741051795448	0	0	0	0
ACVR2B	0.0719463188012236	0.0634303323504946	0.0898776585535389	0.0197724469576015	0	0	0	0
ACVRL1	0.0234869581904832	0.0253819153951789	0	0	0	0	0.645142185977594	0.640905622795362
ACY1	0.0528278220232492	0.0103217363628242	0	0	0	0	0.207076996447149	0.230986926473747
ACY3	0.0650474904932968	0.0272771046084979	0	0	0	0	0.222543401671441	0.140741692252075
ACYP1	0.0241467538211576	0	0.179503628386526	0.120392926601838	0	0.0216609002548781	0	0
ACYP2	0.0711561417054424	0	0.0131871396566123	0	0	0.0202771968857588	0	0.00844029598698055
ADAL	0	0	0.124849117767772	0.0911462861464434	0.104725875791773	0.161272842990615	0	0
ADAM10	0	0	0	0	0.281816427460591	0.121539296075758	0.277685924332678	0.202220108599784
ADAM12	0	0	0.109938908959611	0.113914574730064	0.36162010064005	0.230278350222125	0	0
ADAM15	0.021424189682602	0.0293679186967038	0	0	0	0	0.079037034524113	0.0939859586844111
ADAM17	0	0	0.258627306881477	0.246622947726064	0.126782741867644	0.0162768325381879	0	0
ADAM19	0	0	0	0	0.185469925022526	0.118520861619843	0.251328509831468	0.205166332766435
ADAM22	0	0	0	0	0.0129739800878602	0.00467354662791489	0.0714529515367392	0.0668044865331955
ADAM23	0	0	0.186874853878409	0.174011325709136	0.0418947006437953	0.0627471271218431	0	0
ADAM28	0.00495250329221933	0.0119504855488276	0	0	0	0	0.0542374884008583	0.0349146978055904
ADAM33	0.220766932748515	0.180174551956362	0	0	0	0	0.0207086609524015	0.00650168867515689
ADAM6	0.102679346604576	0.0875388606740231	0	0	0	0	0.274176790704899	0.226279569846538
ADAM8	0	0	0	0	0.0297572288739373	0.0147193611697749	0.445378681019664	0.403732096132876
ADAM9	0	0	0	0	0.193466492373971	0.0825227341441105	0.0781009279144167	0.0279110836614386
ADAMDEC1	0	0.00410415985459018	0	0	0.0134807974308645	0	0.0160348874611026	0.0338350727635321
ADAMTS10	0.0349675064718606	0.028677138416229	0	0	0	0	0.298250735367527	0.239909113083336
ADAMTS12	0	0	0	0	0.278111751936233	0.105343738044715	0.170199552054272	0.130569661097712
ADAMTS13	0.0716641493706618	0.0336255941078623	0.01238537037968	0.00920139764067345	0	0	0	0
ADAMTS14	0	0	0	0	0.0537056884628743	0.0475744156188039	0.087928931815476	0.0614273041610791
ADAMTS15	0	0	0	0	0.187058814556521	0.134731049790975	0.236996427796568	0.205440137457945
ADAMTS16	0	0.0450817596159049	0	0	0.0109221592500728	0	0.458313164612965	0.478786443510818
ADAMTS17	0.1227382458314	0.069818385470159	0.219886057290751	0.293107554927527	0	0	0	0
ADAMTS1	0	0	0.0329358068992003	0.044472890197788	0.139745673378503	0.142747758334283	0	0
ADAMTS2	0	0	0	0	0.194613745963519	0.0645266951455764	0.177608396989302	0.145131963752954
ADAMTS3	0	0	0	0	0.0969013109882957	0.0818055863154698	0.162921636590351	0.155714198292319
ADAMTS4	0	0	0	0	0.242528300754237	0.191316007063547	0.115905773230172	0.0939532911035595
ADAMTS5	0	0	0	0	0.337686542231791	0.239404666376484	0.0692360865543317	0.0837345976854377
ADAMTS6	0	0	0	0.0101554048813563	0.209670089349837	0.134688904315351	0.00937214772312368	0
ADAMTS7	0	0	0	0	0.181455244099193	0.0984436001654562	0.44631144436677	0.431285565491969
ADAMTS8	0.173915088325003	0.0948756248293812	0	0	0	0	0.335407332540733	0.325106651537776
ADAMTS9	0	0	0	0	0.106959934095927	0.15635082668252	0.0488146633340311	0.0469381096253105
ADAMTSL1	0	0.0156806895122702	0.0657816649042772	0.0971050815727749	0.0167348763660906	0	0	0
ADAMTSL2	0.00973547293041026	0.0489745349026271	0	0	0	0	0.43692999556151	0.381528593750607
ADAMTSL3	0	0	0	0	0.0303515019964187	0.0169470218462816	0.24132223178929	0.254966666503958
ADAMTSL4	0	0	0	0	0.0563796759196183	0.0312420539804245	0.32940304376552	0.365368148122301
ADAMTSL5	0	0	0	0	0.0558516523802328	0.0122091077403524	0.0298539748079399	0.00932084221336258
ADAP1	0.0177302352647759	0.0232562877495998	0.0279917593523396	0.0347384789706272	0	0	0	0
ADAP2	0	0.0447369035713804	0	0	0.00508342341177423	0	0.30982889786932	0.278040151755281
ADARB1	0	0	0	0	0.065838691387904	0.0539673637758263	0.0875794612640823	0.0994753555107356
ADAR	0	0	0	0	0.124404737351662	0.0291690812010542	0.00348334886117945	0.0245883374381879
ADAT1	0	0.0620122662766598	0	0	0.0427540188630415	0	0.435340922178556	0.425377997532551
ADAT2	0.0265806005591782	0	0.0594904904186288	0.0553846334812736	0	0.00585430473579723	0	0
ADAT3	0	0	0	0	0.00228816296397719	0.0248776882779308	0.067192797162428	0.0726660947437216
ADA	0	0	0	0	0.333620684195076	0.168689733017619	0.228620652965323	0.286975954010792
ADCK1	0.0611490855533612	0.0429522451734327	0.101123824238319	0.1261383839005	0	0	0	0
ADCK2	0	0	0.000694452452376049	0	0.0672534436286046	0.0488986266896739	0	0.0224308012540662
ADCK4	0	0	0	0	0.033137951545783	0.0594379948257746	0.0760294389599474	0.048153416375832
ADCK5	0.102533103341985	0.041895970419908	0	0	0	0	0.306329938247463	0.220588838995371
ADCY1	0	0	0	0	0.0460050133379247	0.0671476918451218	0.0118243039738278	0.0183358550681483
ADCY3	0	0	0.290624211748002	0.199566039413168	0.0668270878474223	0.047158725866725	0	0
ADCY4	0.0408787206890287	0.0139561163644075	0	0	0	0	0.461197713771669	0.356854340778023
ADCY5	0.0310049094351047	0.0458652647623132	0	0	0	0	0.185497592097989	0.235158336350995
ADCY6	0.142497291845286	0.0255847692641515	0.0502424128734699	0.071373968597258	0	0	0	0
ADCY7	0.000946094041272708	0.0359528459964676	0	0	0	0	0.429747812894011	0.349738388084515
ADCY9	0.40664612945018	0.507149643926796	0	0	0	0	0.0406746416509092	0.00261981171336866
ADCYAP1	0.165899852586883	0.0916720307147347	0	0	0	0	0.030580392784311	0.000229064202396287
ADC	0.394014704733506	0.303881677248087	0	0	0	0	0.0977918409478492	0.0661859334856634
ADD1	0	0	0	0	0.0947406375227143	0.0130435179293239	0.368274293854384	0.243798603735739
ADD2	0.00300290570091979	0.00980836861172734	0.11604145550341	0.0503263771445856	0	0	0	0
ADD3	0	0	0.345127471607994	0.380414291248284	0.0670736516639305	0.064814317944895	0	0
ADH1B	0.236135575166003	0.16423864999922	0	0	0	0	0.576868050286895	0.558446145934334
ADH1C	0.269008992447949	0.126631246891097	0	0.0330300367027582	0	0	0.00245443603389771	0
ADH5	0.000434319119786613	0	0.15432223682295	0.229704555459713	0	0.0330621682079825	0	0
ADHFE1	0.245857532160013	0.185523409647429	0	0	0	0	0.0637428799192185	0.0511495320489828
ADI1	0.160311821467947	0.0458622151718899	0.352092921902215	0.275721678704114	0	0	0	0
ADIPOR1	0	0	0	0	0.00938746100669296	0.0419278555927641	0.0308696769653856	0.0720062406011774
ADIPOR2	0	0	0.195748528905914	0.186986258005291	0.295625491346469	0.159946073161558	0	0
ADK	0.000506771260396555	0.0248867320705578	0	0	0	0	0.128679777217538	0.160465795229827
ADM2	0.315987057004672	0.332713942336339	0.0917353245012927	0.105062033155817	0	0	0	0
ADM	0	0	0.0667647646799912	0.10044381996767	0.472309700531034	0.327493436791787	0	0
ADNP2	0	0	0	0	0.0634120696978432	0.0773432921193555	0.040571697139468	0.0484725606249643
ADNP	0.00453738612441507	0.0754455895336659	0.0575657175867053	0.0459449511719377	0	0	0	0
ADORA1	0	0	0	0	0.0561303770817737	0.0528659873135732	0.253363733071018	0.22341951331937
ADORA2A	0.0772268691417171	0.0552938475197443	0	0	0	0	0.605156364096491	0.514524237431839
ADORA2B	0	0.00539325043402321	0.0395008791101845	0.0789615757234867	0.012887751308786	0	0	0
ADORA3	0.0491205589701638	0.0267356097031824	0	0	0	0	0.214663443647195	0.221482507008752
ADO	0	0	0.0106378350530768	0	0.062965195564169	0.0606024357826133	0	0.00973547295929256
ADPGK	0.000938257313525922	0	0.26389121824762	0.235669059827345	0	0.00706159092310976	0	0
ADPRHL1	0	0	0.10273552103834	0.0597024475718186	0.00914691415018661	0.0290460306624123	0	0
ADPRHL2	0.0720252259590805	0.074449898955985	0	0	0	0	0.0755029590270944	0.0434200521027129
ADPRH	0.00700216149337081	0.0285352361087332	0	0	0	0	0.290369745165894	0.251542633650268
ADRA2A	0.159182494561861	0.0912852381995546	0	0	0	0	0.0831553096718683	0.0296221566300347
ADRA2B	0.0376514951990729	0	0.0995327359535562	0.0779007245918386	0	0.044488222287317	0	0
ADRA2C	0	0	0.19184718361176	0.215760748693731	0.0821576003638403	0.103112161413194	0	0
ADRB1	0.229314567978189	0.249668848468709	0	0	0	0	0.195610204136111	0.219925641377031
ADRB2	0.203610926872572	0.199000731808801	0	0	0	0	0.13297373679121	0.137222052780804
ADRBK1	0	0	0	0	0.0148147715766956	0.0132997776946677	0.495324448387528	0.370023113826702
ADRBK2	0.106032239371912	0.177998608454236	0	0	0	0	0.0724626932910238	0.02350992165098
ADRM1	0	0	0	0	0.023345537034902	0.0529621052473197	0.15332368474717	0.117533866743455
ADSL	0	0	0	0	0.045559269915754	0.00840932451228889	0.00122138675677787	0.023397010428465
ADSSL1	0	0	0	0	0.0865717551911807	0.0608467890567439	0.10667998408973	0.140170170697057
ADSS	0	0	0.369724999390734	0.321567193078883	0.16058275849567	0.128187812361805	0	0
AEBP1	0	0	0	0	0.0849145193761106	0.0234529363240409	0.194688222590211	0.149644547099527
AEBP2	0	0	0.242021869816467	0.273685308000619	0.0420681504674109	0.0434616067669885	0	0
AEN	0	0.00149723179407184	0	0	0.0145332165176946	0	0.0204586799702622	0.0168464312934861
AES	0.137933979604226	0.0250277352248642	0.0416294381907297	0.036570366849718	0	0	0	0
AFAP1L1	0	0	0	0	0.161605269772969	0.168816031132846	0.319830038167449	0.343741147423718
AFAP1L2	0	0.0199997298696973	0	0	0.0517913883085492	0	0.11120759980249	0.0513109941291445
AFAP1	0	0	0	0	0.389096511295629	0.175191459255992	0.101780421403813	0.0354783495747991
AFF1	0	0.0576760273868345	0	0	0.0139974308989435	0	0.585547228358833	0.386906530482302
AFF2	0.185253476625986	0.120644792371997	0.104832207660059	0.118831708560831	0	0	0	0
AFF3	0.222098603820616	0.183355567872082	0	0	0	0	0.146824554868973	0.126793644009006
AFF4	0	0	0	0	0.083200682006192	0.0537423076612552	0.15097848654873	0.128979819818917
AFG3L1	0.0925338536146286	0.0262772840061141	0	0	0	0	0.0749038736222298	0.079830141658104
AFG3L2	0	0	0.0728789124443429	0.0303257102151842	0.0558605243506079	0.0895735204817141	0	0
AFMID	0	0	0.283607751555126	0.19225556539174	0.0256745481538701	0.0192812611123438	0	0
AFTPH	0.0665271384639351	0.0240188034347862	0	0.0082892660886918	0	0	0.015654848274241	0
AG2	0.0586152077399751	0.0258385349716458	0	0	0	0	0.662162879479372	0.612538155576869
AGAP11	0.156468758378821	0.162854336941304	0.0027148719490266	0.00982877144982478	0	0	0	0
